DATA_MANAGE_NO,DATA_TITLE_NM,THEME_NM,LWPRT_THEME_NM,CL_NM,LWPRT_CL_NM,SBJT_NM,MIDDL_SBJT_NM,SUMRY_CN,MAIN_THUMB_URL,CNTNTS_URL,CTPRVN_NM,SIGNGU_NM,ADDR,CTLSTT_LA,CTLSTT_LO,REGIST_DE,CORE_KWRD_CN,OPN_DE,media_type,REFINED_KWRD_CN,IS_STORY,media_subtype
10635,조선시대 인쇄 문화를 살필 수 있는 목활자 인쇄용구,역사문화유산,한국의 기록문화,문화유산,기타,한국 기록문화의 정의와 의미,,"목활자는 글자 하나하나를 네모진 나무 조각에 새긴 것으로 활자를 필요한 문구대로 조합한 뒤 인쇄할 수 있었다. 조선시대에 이르러 목활자를 이용한 인쇄술이 국가 기관은 물론 절이나 서원, 민간에까지 보급되면서 민간에서도 책을 제작하게 되었다. 목활자를 비롯해 조각칼, 대젓가락, 먹솔 등 인쇄에 사용되던 도구들이 현재까지 전해진다. 국립중앙도서관, 청주고인쇄박물관, 영천역사박물관 등 여러 박물관에 소장되어 있어 조선시대의 인쇄문화를 관람하고 체험할 수 있다",,https://ncms.nculture.org/archival/story/5331,,,,,,20200723,"목활자, 인쇄문화, 인쇄용구, 민간인쇄조보",20221230,text,생활/문화,N,text
10637,"6월-장생포의 숨겨진 맛을 찾아서, 장어탕(박말순 할머니)",생활문화,향토음식,생활과 민속,생활,고래할머니의 열두 달 맛 이야기,,장생포는 고래로 유명한 곳이지만 아는 사람들은 정어의 원산지라는 장생포에 장어를 먹으러 온다고 한다. 할아버지는 장어배의 선주이다. 조상 대대로 내려오던 가업을 이어 어부가 된 할아버지는 50여년의 시간을 어부로 보냈다. 할아버지에게 장생포 앞바다는 땀 흘린만큼 그 수고로움을 알고 보답해줄 줄 아는 곳이었다. 삶을 지탱하던 무대가 한 순간에 막이 내리자 그는 심정이 많이 상한다는 이야기를 건넸다.,,https://ncms.nculture.org/food/story/5498,울산광역시,남구,울산광역시 남구 장생포동 111,35.50219926,129.3759479,20200807,"고래고기, 울산향토음식",20221230,text,,N,text
10639,중국풍과 러시아풍이 혼재한 부산광역시 초량동 차이나타운,생활문화,우리마을이야기,자연과 지리,마을경관,한국의 독특한 마을,,우리나라의 대표적 차이나타운은 인천에 있다. 하지만 부산광역시 초량동의 차이나타운 또한 역사가 오래되었다. 초량동에는 중국 영사관이 있어 중국인들이 모이게 되었다. 부산역 건너편에 자리잡은 차이나타운은 원래 텍사스 거리였다. 이 거리에는 현재 중국 만두집 만큼이나 러시아풍의 가게들도 많이 들어섰다. 초량동 차이나타운에서는 중국풍과 러시아풍을 접할 수 있으며 다양한 축제도 열려 먹거리와 즐길거리가 풍부하다.,,https://ncms.nculture.org/story-of-our-hometown/story/5704,부산광역시,동구,부산광역시 동구 중앙대로179번길 16,35.11384417,129.0378129,20200821,"중국, 러시아, 화교, 부산 초량동",20221230,text,,N,text
10641,삿갓모양 돌산에 구축한 의정부 사패산1~3보루,역사문화유산,한국의 관방문화,문화유산,건축유적,경기도 관방유적,보루,"사패산보루(賜牌山堡壘)는 경기도 양주시 장흥면 울대리와 의정부시 호원동 등에 걸쳐 있는 북한산 국립공원 내에 있다. 보루(堡壘)는 적군을 막거나 공격하기 위해 흙이나 돌로 튼튼하게 쌓아놓은 진지이다. 사패산(552m)은 그 모양이 삿갓처럼 보여 갓바위산 또는 삿갓산이라 불렀는데, 보루가 3개나 있을 정도로 중요한 관방지역이다. 이 산을 지나면 곧바로 한양으로 연결되기 때문이었다.",,https://ncms.nculture.org/fortress/story/5766,경기도,의정부시,경기도 의정부시 호원동 산34-1일대 사패산,37.72399681,127.0319833,20200824,"사패산보루, 사패산",20221230,text,,N,text
10642,양주시의 진산에 설치된 불곡산1~9보루,역사문화유산,한국의 관방문화,문화유산,건축유적,경기도 관방유적,보루,"불곡산보루(佛谷山堡壘)는 경기도 양주시 산북동 산65-1번지 일대 불곡산에 흩어져 있다. 보루(堡壘)는 적군을 막거나 공격하기 위해 흙이나 돌로 튼튼하게 쌓아놓은 진지이다. 대체로 작은 성을 보루라 한다. 그 때문에 보루는 한 곳의 산에도 여러 개가 분포해 있다. 불곡산보루는 9개나 분포해 있는 것으로 조사 되었다. 이렇게 보루가 많은 것은 불곡산이 관방의 요충지이면서, 여러 개의 봉우리로 형성돼 있기 때문이다. 불곡산보루에서 나온 유물들을 보아 삼국시",,https://ncms.nculture.org/fortress/story/5767,경기도,양주시,경기도 양주시 산북동 산65-1일대 불곡산,37.80056327,127.0267848,20200824,"불곡산보루, 불곡산",20221230,text,,N,text
10643,양주가 한눈에 내려다보이는 도락산1~4보루,역사문화유산,한국의 관방문화,문화유산,건축유적,경기도 관방유적,보루,"경기도 양주시 은현면 용암리에 도락산(道樂山)이 있다. 이 산은 해발 439.8m로 명칭도 다양하고 전설도 이채로운 산이다. 이곳에는 삼국시대에 쌓았다는 보루가 4곳이나 있다. 보루(堡壘)는 적군을 막거나 공격하기 위해 흙이나 돌로 튼튼하게 쌓아놓은 진지이다. 보루마다 크기가 다르며, 발견되는 유적도 다양하다. 현재 석축과 토기편 등이 발견되고 있어 위치와 연대를 고증할 수 있다.",,https://ncms.nculture.org/fortress/story/5768,경기도,양주시,경기도 양주시 은현면 용암리 산87~4일대 도락산,37.83036827,127.0191056,20200824,"도락산보루, 도락산",20221230,text,,N,text
10644,낙동강 변 개비리 길의 이야기,생활문화,지역설화,"구비전승,어문학",어문학,경상도·대구·부산 지역의 전설,,용산 마을과 영아지 마을에 이르는 강가의 벼랑을 따라 자연적으로 조성된 길이 개비리 길이다. 이 길의 유래는 영아지 마을에 사는 황씨 할아버지의 개 누렁이가 어느 날 11마리의 새끼를 낳았는데 한 마리가 유독 작고 볼품없어 집에 남기고 나머지는 시장에 내다 팔았다. 그런데 할아버지의 딸이 시집인 용산리로 가서 키우겠다며 데리고 갔다. 이후 시집으로 간 새끼를 위해 친정에 있는 누렁이가 하루에 한 번 위험한 낙동강변 절벽면을 건너 새끼에게 젖을 먹이러 오,,https://ncms.nculture.org/traditional-stories/story/5871,경상남도,창녕군,경남 창녕군 남지읍 용산리 119-3,35.39725211,128.4365433,20200828,"낙동강 변, 개비리길",20221230,text,,N,text
10646,이 엿이 제일 싸다고 외치는 경북 상주의 싸구려소리,생활문화,노동요,생활과 민속,민속,경상북도 노동요,상업노동요,경상북도 상주시에서는 「엿파는소리」로 싸구려소리를 불렀다. 「엿파는소리」는 엿장수가 엿을 팔 목적으로 사람들의 관심을 끌기 위해 부르는 노래다. 빠르고 경쾌하며 익살스러워 일반인들이 배워 노는 자리에서 부르기도 했다. 싸구려소리는 “싸구려”라는 말로 시작하거나 또는 사설 중에 “싸다”는 의미의 말을 넣는다. 말치레를 통해 상품을 선전하고 과장적인 표현으로 호객행위를 한다.,,https://ncms.nculture.org/labour-song/story/6025,경상북도,상주시,경북 상주시 내서면 배골길 729,36.37308492,128.0294279,20200904,"엿파는소리, 싸구려소리, 상주 노동요, 엿사시오소리",20221230,text,노동/민요,N,text
10648,주세붕이 향교 세운 이야기,생활문화,지역설화,"구비전승,어문학",어문학,서울·경기도·인천 지역의 전설,,우리나라는 고을을 유수，목사，부사，군수，현감이 관할하는 다섯으로 나누었다. 순홍부사를 지낸 주세붕이 중국 사신으로 갔다. 중국에서 우리를 오랑캐라며 동이라고 불렀다. 주세붕이 우리나라는 360고을에 향교를 지어 공자를 배향한다면서 우리를 오랑캐라 부르지 말라고 하였다. 중국에서 그게 사실이면 오랑캐라고 부르지 않겠다고 하였다. 돌아와 왕에게 말해서 어명으로 전국에 향교를 짓게 하고 공자를 배향하게 하였다.,,https://ncms.nculture.org/traditional-stories/story/6054,서울특별시,종로구,서울 종로구 경운동 90-3,37.57598561,126.9858219,20200904,"주세붕, 향교",20221230,text,,N,text
6112,"그림 - 1보루는 보전되고, 2, 3보루는 훼손된 서울 망우산1~3보루",역사문화유산,한국의 관방문화,문화유산,건축유적,서울 관방유적,봉수,"망우산(忘憂山)은 해발 281m로 산을 이어가며 3개의 보루(堡壘)가 있다. 망우산에서 보면 중랑천을 비롯한 한강과 도봉산과 불암산 등이 잘 보인다. 망우산 1보루는 어느 정도 보전이 되었으나 2, 3보루는 망우 묘역을 만드는 과정에서 많이 훼손되어 원형을 파악하기가 어렵다. 주변에서 고구려 토기 조각과 민무늬 토기 조각이 발견되었다. 망우산 보루 바로 옆에 시루봉 보루와 용마산 보루와 아차산 보루가 있다.",,https://ncms.nculture.org/fortress/story/6112,서울특별시,중랑구,경기 구리시 교문동 산 84-2,37.5914194,127.1122993,20200908,"망우산, 중랑천, 망우산보루, 서울, 1보루, 2보루, 3보루",20230330,text,,N,text
